공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00583959,소나무재선충병 방제사업(2차)(이천신석지구) - 수의시담,경상북도 안동시,조달청 또는 나라장터 자체 공고건,소나무재선충병 방제사업(2차)(이천신석지구) - 수의시담,"소나무재선충병,방제사업,2차,이천신석지구,수의시담",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 12:00:00,"['소나무재선충병', '방제사업', '2차', '이천신석지구', '수의시담']",bid_list_converted.csv
R25BK00583964, 공 사 명 장산초 외 1교(흑산초) 외부벽체 치장벽돌 보강공사,전라남도교육청 전라남도신안교육지원청,조달청 또는 나라장터 자체 공고건, 공 사 명 장산초 외 1교(흑산초) 외부벽체 치장벽돌 보강공사,"장산초,1교,흑산초,외부벽체,치장벽돌,보강공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['장산초', '1교', '흑산초', '외부벽체', '치장벽돌', '보강공사']",bid_list_converted.csv
R25BK00583970,소나무재선충병 방제사업(2차)(석동와룡지구 특별방제구역) - 수의시담,경상북도 안동시,조달청 또는 나라장터 자체 공고건,소나무재선충병 방제사업(2차)(석동와룡지구 특별방제구역) - 수의시담,"소나무재선충병,방제사업,2차,석동와룡지구,특별방제구역,수의시담",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 12:00:00,"['소나무재선충병', '방제사업', '2차', '석동와룡지구', '특별방제구역', '수의시담']",bid_list_converted.csv
R25BK00583968,2025년 갈말‧김화권역 도시계획시설 유지보수 연간단가공사,강원특별자치도 철원군,조달청 또는 나라장터 자체 공고건,2025년 갈말‧김화권역 도시계획시설 유지보수 연간단가공사,"2025년,갈말,김화권역,도시계획시설,유지보수,연간단가공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '갈말', '김화권역', '도시계획시설', '유지보수', '연간단가공사']",bid_list_converted.csv
R25BK00583967,2025년 관내 노후 인도정비 유지보수 단가계약 1차 시청권역,경기도 남양주시 도로관리사업소,조달청 또는 나라장터 자체 공고건,2025년 관내 노후 인도정비 유지보수 단가계약 1차 시청권역,"2025년,관내,노후,인도정비,유지보수,단가계약,1차,시청권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '관내', '노후', '인도정비', '유지보수', '단가계약', '1차', '시청권역']",bid_list_converted.csv
R25BK00583964,장산초 외 1교(흑산초) 외부벽체 치장벽돌 보강공사,전라남도교육청 전라남도신안교육지원청,조달청 또는 나라장터 자체 공고건,장산초 외 1교(흑산초) 외부벽체 치장벽돌 보강공사,"장산초,1교,흑산초,외부벽체,치장벽돌,보강공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['장산초', '1교', '흑산초', '외부벽체', '치장벽돌', '보강공사']",bid_list_converted.csv
R25BK00583982,소나무재선충병 방제사업(2차)(이상이하가구지구) - 수의시담,경상북도 안동시,조달청 또는 나라장터 자체 공고건,소나무재선충병 방제사업(2차)(이상이하가구지구) - 수의시담,"소나무재선충병,방제사업,2차,이상이하가구지구,수의시담",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 12:00:00,"['소나무재선충병', '방제사업', '2차', '이상이하가구지구', '수의시담']",bid_list_converted.csv
R25BK00583939,배롱나무 군락 조성사업,경상북도 고령군,조달청 또는 나라장터 자체 공고건,배롱나무 군락 조성사업,"배롱나무,군락,조성사업",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['배롱나무', '군락', '조성사업']",bid_list_converted.csv
R25BK00583966,2025년도 상수도 긴급보수 단가계약(3권역),강원특별자치도 강릉시 상하수도사업소,조달청 또는 나라장터 자체 공고건,2025년도 상수도 긴급보수 단가계약(3권역),"2025년도,상수도,긴급보수,단가계약,3권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년도', '상수도', '긴급보수', '단가계약', '3권역']",bid_list_converted.csv
R25BK00583986,소나무재선충병 방제사업(2차)(오천라소가야지내지구) - 수의시담,경상북도 안동시,조달청 또는 나라장터 자체 공고건,소나무재선충병 방제사업(2차)(오천라소가야지내지구) - 수의시담,"소나무재선충병,방제사업,2차,오천라소가야지내지구,수의시담",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['소나무재선충병', '방제사업', '2차', '오천라소가야지내지구', '수의시담']",bid_list_converted.csv
